date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-04-13,159,27,5.9,29.80,0,0,0.00,0,0,0.00,8,1,12.50,37,4,1,0,0,0.00,0,0,0.00,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,3
2017-04-14,92,12,7.7,44.91,0,0,0.00,0,0,0.00,6,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2
2017-04-15,199,46,4.3,20.13,0,0,0.00,0,0,0.00,4,0,0.00,114,13,2,0,0,0.00,0,0,0.00,0,1,2,6,6,0,0,0,0,0,2,2,3,1,1,1,0,3
2017-04-16,166,27,6.1,30.38,0,0,0.00,0,0,0.00,2,0,0.00,89,9,1,0,0,0.00,0,0,0.00,0,0,2,2,2,0,0,0,0,0,0,1,1,0,1,1,0,3
2017-04-17,260,41,6.3,28.70,0,0,0.00,0,0,0.00,12,0,0.00,44,2,1,0,0,0.00,0,0,0.00,0,1,0,2,2,0,0,0,0,0,1,5,6,1,1,1,0,4
2017-04-18,14,14,1.0,6.24,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-19,229,31,7.4,36.27,0,0,0.00,0,0,0.00,10,0,0.00,30,4,0,0,0,0.00,0,0,0.00,0,1,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,4
2017-04-20,27,15,1.8,11.07,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2017-04-21,140,20,7.0,35.93,0,0,0.00,0,0,0.00,4,0,0.00,27,1,0,0,0,0.00,0,0,0.00,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-04-22,39,12,3.3,22.69,0,0,0.00,0,0,0.00,2,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-04-23,241,22,10.9,52.65,0,0,0.00,0,0,0.00,6,0,0.00,38,2,1,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017-04-24,164,17,9.7,51.46,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,1,1,0,0,0,0,0,0,2,2,0,1,1,0,3
2017-04-25,156,17,9.2,51.27,0,0,0.00,0,0,0.00,8,0,0.00,46,2,1,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3
2017-04-26,16,9,1.7,8.65,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0
2017-04-27,37,6,6.2,29.73,0,0,0.00,0,0,0.00,0,0,0.00,21,1,0,0,0,0.00,0,0,0.00,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-04-28,70,17,4.1,19.85,0,0,0.00,0,0,0.00,2,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1
